id	longitude	latitude	country
658	-76.52	56.53	Canada
659	-63.22	55.33	Canada
660	-69.6	59.3	Canada
661	-69.55	61.08	Canada
662	-71.93	61.59	Canada
663	-70	60.02	Canada
664	-68.42	58.1	Canada
665	-69.63	61.05	Canada
666	-69.62	61.05	Canada
667	-66.82	54.8	Canada
668	-69.95	58.67	Canada
669	-75.67	62.18	Canada
670	-65.99	58.71	Canada
671	-64.83	47.8	Canada
672	-65.75	47.63	Canada
673	-66.67	48	Canada
674	-66.33	47.98	Canada
675	-65.47	47.01	Canada
676	-65.47	47.01	Canada
677	-66.53	45.87	Canada
678	-66.8	44.71	Canada
679	-64.5	48.02	Canada
680	-64.69	46.1	Canada
682	-65.89	45.32	Canada
683	-67.83	47.16	Canada
684	-67.25	45.22	Canada
685	-67.83	47.16	Canada
686	-64.27	45.85	Canada
691	-61.9	45.87	Canada
692	-62.68	45.77	Canada
693	-61.97	45.38	Canada
694	-63.45	45.42	Canada
697	-64.92	44.98	Canada
699	-63.52	44.88	Canada
701	-61.3	46.23	Canada
702	-65.2	44.43	Canada
703	-60.01	43.93	Canada
705	-63.5	44.63	Canada
707	-60.17	46.17	Canada
708	-60.05	46.17	Canada
709	-62.62	45.61	Canada
710	-63.27	45.37	Canada
711	-63.27	45.37	Canada
713	-66.09	43.83	Canada
714	-63.13	46.29	Canada
716	-64	47.06	Canada
717	-63.84	46.44	Canada
718	-63.83	46.44	Canada
721	-53.99	47.29	Canada
722	-56.07	48.97	Canada
724	-56.83	48.85	Canada
725	-57.62	47.62	Canada
726	-57.62	47.62	Canada
727	-53.08	46.66	Canada
728	-54.88	49.27	Canada
729	-57.92	48.93	Canada
730	-57.58	50.24	Canada
731	-57.4	49.22	Canada
734	-54.58	48.95	Canada
736	-55.67	49.92	Canada
738	-59.15	47.57	Canada
740	-55.85	47.87	Canada
742	-56.1	51.38	Canada
743	-55.58	51.37	Canada
744	-55.6	51.37	Canada
745	-56.08	51.4	Canada
746	-52.74	47.62	Canada
747	-55.38	46.92	Canada
748	-55.38	46.92	Canada
749	-58.55	48.53	Canada
752	-55.33	47.14	Canada
756	-52.98	47.52	Canada
759	-58.45	54.77	Canada
760	-64.17	59.98	Canada
761	-61.48	57.14	Canada
763	-64.09	53.56	Canada
764	-64.1	53.55	Canada
765	-60.42	53.32	Canada
766	-60.22	55.45	Canada
767	-55.83	52.3	Canada
770	-59.19	55.08	Canada
772	-58.36	54.72	Canada
773	-66.87	52.93	Canada
774	-55.83	52.3	Canada
775	-80.1	26.68	United States of America
776	-93.93	29.87	United States of America
777	-93.93	29.87	United States of America
778	-79.95	36.08	United States of America
779	-76.62	39.3	United States of America
780	-76.62	39.3	United States of America
781	-76.62	39.3	United States of America
782	-76.62	39.3	United States of America
783	-98.52	33.98	United States of America
784	-75.67	41.4	United States of America
785	-84.08	43.53	United States of America
786	-93.38	48.6	United States of America
787	-157.87	21.32	United States of America
789	-102.2	31.93	United States of America
790	-101.83	33.63	United States of America
791	-101.7	39.35	United States of America
792	-114.85	39.28	United States of America
793	-106.33	45.92	United States of America
794	-106.33	45.92	United States of America
795	-134.4	58.3	United States of America
798	-134.4	58.3	United States of America
800	-156.65	58.68	United States of America
802	-149.85	61.25	United States of America
803	-149.87	61.25	United States of America
804	-141.2	64.77	United States of America
805	-141.2	64.77	United States of America
809	-156.77	71.3	United States of America
810	-84.17	39.77	United States of America
811	-84.17	39.77	United States of America
812	-87.22	30.42	United States of America
813	-87.22	30.42	United States of America
814	-87.22	30.42	United States of America
815	-85.83	33.65	United States of America
816	-85.83	33.65	United States of America
817	-106.62	48.22	United States of America
818	-70.97	-53	Chile
819	15.38	44.55	Croatia
820	15.98	45.81	Croatia
822	18.56	45.5	Croatia
823	-97.74	30.27	United States of America
824	-96.17	30.28	United States of America
825	-71.42	41.82	United States of America
826	-71.41	41.83	United States of America
829	-99.34	38.86	United States of America
830	-98.99	47.98	United States of America
831	-114.62	32.73	United States of America
832	-86.39	32.38	United States of America
833	-108.97	32.38	United States of America
834	-113.38	32.39	United States of America
835	-122.41	37.79	United States of America
836	-122.4	37.79	United States of America
837	-104.82	38.85	United States of America
838	-103.17	38.83	United States of America
839	-84.44	33.75	United States of America
840	-80.87	32.2	United States of America
841	-84.05	30.78	United States of America
842	-116.33	43.61	United States of America
843	-88.26	39.81	United States of America
844	-93.61	41.58	United States of America
845	-96.81	39.11	United States of America
846	-93.37	39.48	United States of America
847	-95.31	39.3	United States of America
848	-93.02	39.49	United States of America
849	-94.92	39.32	United States of America
850	-95.76	39.07	United States of America
851	-93.82	32.5	United States of America
852	-69.77	44.21	United States of America
853	-69.77	44.23	United States of America
854	-68.11	44.81	United States of America
855	-68.67	44.9	United States of America
856	-71.05	42.37	United States of America
857	-72.59	42.1	United States of America
858	-71.8	42.25	United States of America
859	-84.53	42.73	United States of America
