id	longitude	latitude	country
1947	0	0	NA
1955	20.18	63.33	NA
1986	17.57	60.73	NA
1992	18.87	60.5	NA
1993	19.5	59.45	NA
2002	1.35	59.02	NA
2014	17.02	58.25	NA
2043	12.82	55.38	NA
2051	21.57	65.03	NA
2052	21.56	65.02	NA
2062	22.37	65.32	NA
2063	22.38	65.32	NA
2064	22.38	65.32	NA
2065	22.38	65.31	NA
2066	23.1	65.7	NA
2133	19.02	63.18	NA
2161	19.01	63.17	NA
2163	19.01	63.17	NA
2168	19.02	63.18	NA
2175	19.68	63.43	NA
2176	19.68	63.42	NA
2177	19.68	63.43	NA
2182	20.87	63.82	NA
2183	20.87	63.8	NA
2184	20.75	63.58	NA
2186	20.77	63.6	NA
2187	20.76	63.59	NA
2188	20.75	63.6	NA
2190	20.18	63.33	NA
2198	21.57	64.47	NA
2200	21.57	64.47	NA
2208	21.57	64.47	NA
2243	19.35	57.97	NA
2253	14.85	56.02	NA
2259	13.35	55.33	NA
2266	17.53	61.7	NA
2267	17.52	61.69	NA
2269	17.52	61.69	NA
2276	17.45	62.52	NA
2277	17.53	62.37	NA
2278	17.53	62.37	NA
2279	17.75	62.22	NA
2281	17.75	62.21	NA
2284	17.17	61.45	NA
2359	17.57	60.73	NA
2360	17.92	60.88	NA
2363	17.35	60.75	NA
2376	18.87	60.5	NA
2377	18.92	60.28	NA
2384	18.38	60.53	NA
2386	18.12	59.07	NA
2389	20.02	59.55	NA
2391	20.02	59.55	NA
2392	19.5	59.45	NA
2393	19.5	59.44	NA
2394	19.5	59.45	NA
2395	19.13	59.15	NA
2396	11	58.9	NA
2397	11	58.9	NA
2398	11.07	58.58	NA
2399	11	58.9	NA
2400	11.07	58.58	NA
2402	11.33	58.1	NA
2403	11.35	58.1	NA
2404	11.35	58.1	NA
2406	11.35	58.09	NA
2408	11.83	57.22	NA
2420	11.62	57.63	NA
2421	11.63	57.6	NA
2422	11.63	57.6	NA
2423	11.9	57.3	NA
2424	11.9	57.3	NA
2425	11.9	57.3	NA
2481	17.02	58.25	NA
2490	17.87	58.75	NA
2491	17.86	58.75	NA
2493	17.86	58.75	NA
2503	17.1	57.37	NA
2504	17.09	57.36	NA
2505	16.6	57.78	NA
2506	16.6	57.78	NA
2508	18.45	58.97	NA
2509	17.87	58.73	NA
2510	17.87	58.75	NA
2511	17.47	58.6	NA
2512	19.18	58.38	NA
2513	19.2	58.4	NA
2514	17.02	58.25	NA
2515	17.01	58.25	NA
2516	19.35	57.97	NA
2517	19.35	57.97	NA
2518	19.17	57.9	NA
2519	17.01	58.25	NA
2520	19.2	58.4	NA
2525	17.1	57.37	NA
2526	17.1	57.37	NA
2528	18.98	57.43	NA
2535	12.55	56.45	NA
2536	12.45	56.3	NA
2540	12.08	56.28	NA
2543	12.68	56.05	NA
2544	12.68	56.05	NA
2545	12.67	56.05	NA
2547	12.85	55.6	NA
2548	12.85	55.59	NA
2549	12.82	55.38	NA
2550	12.82	55.38	NA
2559	14.32	55.48	NA
2563	14.85	56.02	NA
2568	15.7	55.95	NA
2574	13.35	55.33	NA
2580	16.4	56.2	NA
2581	16.4	56.19	NA
2584	14.85	56.02	NA
2596	15.8	56.03	NA
2597	15.8	56.03	NA
2598	15.79	56.03	NA
2599	15.58	56.15	NA
2603	16.45	56.65	NA
2608	16.4	56.2	NA
2612	16.68	56.07	NA
2620	22.85	63.95	NA
2634	19.98	60.18	NA
2637	22.1	60.38	NA
2639	21.38	61.63	NA
2640	21.17	62.2	NA
2644	23.58	59.82	NA
2647	21.3	61.15	NA
2656	21.18	62.93	NA
2657	20.75	62.98	NA
2661	20.75	60.25	NA
2663	24.98	60.1	NA
2665	23.9	64.62	NA
2720	23.12	63.85	NA
2721	24.52	65.73	NA
2722	24.13	65.42	NA
2723	24.13	65.42	NA
2728	25.27	65.52	NA
2729	25.27	65.52	NA
2747	24.79	65.02	NA
2753	25.4	65	NA
2768	22.58	63.73	NA
2769	22.58	63.73	NA
2770	22.57	63.73	NA
2771	23.6	64.33	NA
2772	23.45	64.33	NA
2775	22.57	63.73	NA
2780	23.45	64.33	NA
2781	23.6	64.33	NA
2782	23.6	64.33	NA
2783	21.07	63.42	NA
2784	21.07	63.43	NA
2785	21.07	63.43	NA
2786	21.06	63.42	NA
2787	21.07	63.43	NA
2817	22.53	63.75	NA
2818	21.1	62.88	NA
2819	21.1	62.88	NA
2834	21.18	62.33	NA
2866	21.35	61.48	NA
2867	21.7	60.12	NA
2868	21.47	61.58	NA
2869	21.48	61.58	NA
2887	21.37	61.13	NA
2888	21.37	61.13	NA
2889	21.37	61.13	NA
2890	21.36	61.13	NA
2893	21.02	60.72	NA
2903	27.18	60.28	NA
2904	27.05	60.38	NA
2926	27.07	60.38	NA
2927	27.07	60.38	NA
2928	26.97	60.37	NA
2929	26.97	60.37	NA
2930	26.97	60.36	NA
2932	20.35	59.5	NA
2933	19.95	59.97	NA
2934	19.95	59.97	NA
2935	19.97	59.97	NA
2936	19.97	59.96	NA
2937	20.35	59.5	NA
2938	21.37	59.78	NA
2939	21.38	59.78	NA
2940	21.38	59.78	NA
2941	22.95	59.77	NA
2942	22.95	59.77	NA
2943	22.95	59.76	NA
2945	24.03	59.93	NA
2946	24.02	59.93	NA
2947	24.02	59.93	NA
2948	24.01	59.92	NA
2949	24.02	59.93	NA
2950	24.92	60.1	NA
2951	24.92	60.1	NA
2952	25.6	59.98	NA
2953	25.6	59.98	NA
2954	25.08	60.1	NA
2955	25.07	60.1	NA
2956	25.06	60.09	NA
2957	24.93	59.95	NA
2958	20.75	60.3	NA
2959	25.63	60.2	NA
2960	26.45	60.27	NA
2961	19.13	60.3	NA
2970	-1.18	60.13	NA
2971	-1.18	60.13	NA
2972	-1.18	60.13	NA
2973	-1.18	60.13	NA
2974	-1.27	60.45	NA
2975	-1.27	60.45	NA
2976	-1.27	60.45	NA
2978	-1.27	60.58	NA
2979	-1.27	60.58	NA
2980	-1.26	60.57	NA
2981	-1.27	60.58	NA
2982	-1.6	59.53	NA
2987	-2.42	59.37	NA
2988	-2.41	59.36	NA
2989	-4.4	59.08	NA
2990	-4.4	59.08	NA
2991	-4.39	59.07	NA
2992	-4.4	59.08	NA
2993	-5.82	59.12	NA
2994	-5.81	59.11	NA
2995	-5.82	59.12	NA
2997	0	0	NA
2999	-2.06	60.11	NA
3001	-3.5	59.58	NA
3009	-7.32	57.15	NA
3010	-7.31	57.15	NA
3017	-6.68	56.97	NA
3018	-6.27	58.52	NA
3020	-6.33	58.22	NA
3021	-6.32	58.22	NA
3022	-6.32	58.22	NA
3025	-6.77	57.43	NA
3026	-6.76	57.42	NA
3027	-6.77	57.43	NA
3028	-6.78	57.42	NA
3029	-6.78	57.42	NA
3030	-6.22	56.73	NA
3031	-6.76	57.42	NA
3032	-5.83	57.1	NA
3036	-5.82	57.87	NA
3037	-0.7	57.58	NA
3038	-5.7	57.58	NA
3039	-5.7	57.58	NA
3046	-5.9	57.25	NA
3051	-6.05	56.77	NA
3066	-5	58.63	NA
3070	-3.87	57.6	NA
3071	-3.87	57.6	NA
3072	-3.87	57.6	NA
3073	-4.02	58.6	NA
3074	-4.02	58.6	NA
3075	-3.38	58.87	NA
3077	-3.38	58.87	NA
3082	-4.17	57.68	NA
3083	-4.17	57.67	NA
3089	-3.77	57.87	NA
3090	-3.77	57.87	NA
3120	-3.13	58.75	NA
3131	-2.27	56.84	NA
3132	-2.45	56.68	NA
3143	-1.76	57.5	NA
3152	-6.88	56.75	NA
3157	-6.5	55.67	NA
3173	-5.13	54.85	NA
3177	-5.1	55.43	NA
3178	-5.12	55.42	NA
3179	-4.82	55.65	NA
3183	-4.85	54.63	NA
